Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Tunisia,360.7,374.9,371.2,386.2,393.2,423,446.2,411.7,447.6,461.6,478.9,571.3,577.1,635.4,759.1,905.6
Kenya,622.5,716.4,771.1,778.5,768.2,810.3,801.4,897.4,856.5,873.8,926.5,946.8,1070.3,1056.7,960.6,1036.7
SouthAfrica,2183.4,2441.3,2675,2647.8,2741,3043.1,3085,3039.9,3018.5,3155.9,3054.5,3164.4,3307.2,3372.7,3376.1,3404.1
DominicanRepublic,322.2,378.8,351,261.6,231.5,286.7,276.6,276.7,317.7,312.1,335.3,311.2,351,344.4,397.5,426.8
Mexico,3083.5,3051.3,2949.5,2941.8,2834.2,2879.8,2700.7,3624,3603.6,4327.5,4121.5,4499.1,4763.1,5038.5,5263.6,4943.5
Canada,13198.7,13548.6,13617.3,13868,14392.9,15025.9,15724.3,17143.6,18475.2,19319,17449.1,18038.8,17153.1,15856.1,16114.7,18514.4
USA,481079.6,484986.8,544547.5,619785,675516.2,706629.7,716812,735939.3,789474.3,851597.6,875941.8,865569.7,817491.8,754611.3,708193.6,692111.5
Brazil,13245.8,15342.4,15547.2,12402.8,12887.1,13943.7,14438.2,15570.9,16564.2,18061,20056.6,19427.5,19801.1,19908.8,20307,19836.4
Peru,1521.2,1486.1,1381.1,1418.1,1388.7,1721.8,1799.5,1743.6,1738.7,2138.4,2329,2374.1,2661.7,3067.4,3038.8,3388.5
Uruguay,821.2,814.8,751.1,653.6,631.4,639.6,668.6,638.6,721,737.4,804.4,782.1,852.9,895.3,923.9,937.1
NewZealand,1850.4,1808.3,1739.8,1781.8,1731.3,1710.5,1892.6,1909.9,1861.8,2004.3,2020.5,1908.5,1854.6,1845.6,1920.6,1947.1
India,30731.5,31801.8,31703.4,32411.2,37648.6,40066.5,40391.2,40879.1,46367.1,54590.1,54809.6,55340.5,55143.5,54737.3,57573,57590
Pakistan,4541.8,4858.6,5225,5583.5,5813,6050.1,6150.3,6193,5838.8,6017.1,6292,6632.7,7034.1,7265.7,7633.4,8292.5
China,42200,50037.8,57470.7,62197.2,68508.5,75231.2,86596,95191.6,104150.1,126379.8,132604.4,142352.9,156979,169742.5,183291.4,197680.5
SouthKorea,20951,21550.3,22144.2,22897,23902.9,25851.6,26783.3,27996.4,29827.8,31703.1,31966.5,32404.5,33229.6,34236.2,35583,36965.3
Singapore,7256.8,7430.3,7833.7,7910.9,8060.5,8562.6,8639.7,8972.9,9034.2,9335.7,9156.1,8830,8624,8596,8847.2,9436.2
Kazakhstan,227,333.8,365.9,433.1,494.9,623.8,729.3,1096.5,1041.2,981.9,1078.5,1188.6,1387,1564.9,1559.6,
Bulgaria,901.6,998.5,1007.5,1024.9,957.7,979.8,970,1134.5,1108.3,884.2,833.9,693.5,694.4,749.1,700.1,709.8
Hungary,1424.8,1565,1709,1844.6,1708,1690.8,1515.1,1543.1,1434.1,1278.3,1146.7,1162.6,1106.6,1046.5,1030.7,1159.4
NorthMacedonia,122.2,388.7,168.8,153.9,164.2,153,145.6,168.4,154.6,150.8,128.3,119.7,113,112.9,111.2,107.4
Poland,5441.1,5611.3,5707.7,5939,6220.8,6644.9,7063.8,7979.5,7257.9,7655.6,8021,8133.2,8204.3,8137.8,9053.8,10774.5
Romania,1901.3,1994,1983.3,2045.8,2199.9,2326.5,2398.3,2299.9,2534.7,2155.3,1985,2053.4,1997.5,2149.7,2349.2,2710
Serbia,1527.9,1216.6,1345.7,1179.2,1089.4,913,921.2,1038.7,1007.9,990.9,961.4,923.3,892.6,864.5,873,840.2
Armenia,152,147.6,146,168.1,185.5,226.9,268.1,314.2,364.7,380.2,397.2,364,372.7,419.5,426,461.1
Azerbaijan,207.7,234.9,252.9,315.4,382.3,447.4,919.2,1436.1,1932.5,1707.1,1616.4,3075.5,3190.6,3227.4,3239.2,3442.4
Georgia,30.8,39.1,55.9,68,95,252.3,428.6,848.6,805.5,491.3,368.2,331.3,343.7,312.6,302.8,269.7
Russia,21809.6,23569.7,26110.3,27377.7,28615.5,32519,35993.6,39179,43049,45166.5,46084.7,49183.3,56986.3,59763.5,64049.9,69032.9
Ukraine,1166.4,1095.7,1268.3,1528.8,1673.6,2225.2,2496.3,3034.2,2968.4,2121.3,2202.8,1981.2,2239.3,2292,3148.7,3842.5
Austria,3451.9,3216.4,3159.9,3290.8,3296.6,3225.8,3098.4,3684.7,3570.9,3334.4,3315.2,3239.9,3197.1,3073,3098.1,2962.3
Cyprus,447.9,528.8,361.5,349.9,363.5,395,388.6,368.4,369.6,403.5,418.7,387.9,354.2,319.5,301.3,337.4
Denmark,4011.6,4260.1,4209.1,4086,4109.5,3915.4,4279.8,4128.3,4286.7,4030.8,4291.5,4000,4125,3783.6,3617.3,3579.5
Finland,2522.8,2404,2451.4,3112.5,3300.6,3395.5,3456.8,3256.9,3511,3685.7,3604.1,3661.8,3706.7,3730.1,3538.5,3617.9
France,46043.7,45901.8,46844.9,48257.9,49575.4,48559.3,48783,48764.6,48410.2,51991.9,49527.3,48054.5,47316.3,47009.7,47827.9,49136.2
Germany,43389.9,42676.7,42792.8,42208,40915,34099.3,39378.5,39438.7,40371.2,41900.1,42002,41150.5,42326.4,40761.7,40810,41510.7
Greece,7779.7,7608.4,7463.4,6394,7029.9,7601.8,7903.7,7897.4,8779.4,9204.9,7073.6,5695.1,5037.1,4703.7,4665.3,4947.5
Ireland,1165.1,1264.2,1214.1,1163.9,1181.7,1197,1187,1195.6,1238.3,1222.6,1165,1104.4,1045.9,1040.3,1036.5,1039.5
Italy,33662.6,33109.8,34014.8,34291.4,34403.7,33099.3,32026.9,31113.1,32401.2,31339.2,30444.3,29814,27558.9,26503.5,24466.9,23428.2
Netherlands,10583.2,10862,10850.1,11006.9,11086.8,11106.3,11630.7,11787.5,11583.8,11833.8,11335.5,10954.7,10293.7,9587.9,9601.2,9578
Norway,4060.4,4087.1,4911.6,4722.1,4841.8,4555.4,4546.6,4837,4864.1,5160.6,5080,5175.8,5270.1,5392.5,5626.2,5585.2
Portugal,3862.4,4018.6,4128.3,3985.6,4232.8,4487.6,4343.9,4172.2,4188.1,4580.6,4517.3,4315.2,3832.2,4222.9,3688.4,3807.8
Spain,18516.2,18310.7,16972.9,17225.9,18005.8,18230,18827.1,19526.3,19418.9,18641.9,18762.8,17308.8,17505,15271.7,15249.2,16209.2
Switzerland,5424.6,5297.6,5070.8,4938.8,4847.2,4771.2,4541.7,4570.2,4681.3,4676.4,4517.1,4637.9,4552.9,4943.2,4478.6,4664.5
UnitedKingdom,49435.3,51393.2,54448.5,58325.2,59049,59601.1,59874.5,61504.6,64197.2,65225.8,64129.5,61961.4,60240.9,58038.5,57000.8,54809.6
Egypt,4047.3,4884.4,5514.7,5635,5331.3,5320.8,5444.4,5482.9,5106.2,4956,4954.7,4811.6,4681.8,4641.1,5066.4,5371.1
Iran,9780,10887.2,11718.8,13677.5,17674.9,21017.6,25166.4,9780,10887.2,11718.8,13677.5,17674.9,21017.6,25166.4
Iraq, , , , ,2094.7,2827.5,2029.7,3106.3,4106.1,3913.9,4410.5,4752.6,4321.6,7968.4,6936.1,9500.1
Israel,13127.4,13677.5,13682.8,13457.6,13913.6,14254.7,14472.4,16223.9,16429.8,16102.1,16219,16326.8,16639.5,17158.2,18471.3,18736.2
Jordan,990.8,972.7,942.5,1087.3,1008.8,1002.8,1096.9,1541.1,1780.7,2072.2,1963.3,1929.5,1704.9,1595.7,1662.3,1748.5
Lebanon,2941.1,3042.5,2830.6,2844.2,2891.9,2937.1,2916.3,3200.6,2933,3534.6,3778.6,3693.1,3743.4,3934,4529.5,4642.4
Oman,2373.3,2761,2842.6,2989.1,3364.8,4054.1,4320.7,4382.5,4161.8,3911.9,4130.4,5407.4,9716.5,9112.5,8451.5,7746.8
SaudiArabia,31884,33961.3,29809.7,30021.6,33313.6,40229.2,45826.8,52786.8,51808.8,53242.5,55415.2,56167.9,63566.5,72832.3,85846.7,91570.1
Turkey,11371.1,10424.2,11091.3,10314.5,9585.2,9238.4,9670.6,9324.6,9458.8,10121.1,9942,10027.3,10273.4,10550.6,10627.6,10935.8
UAE,11330.6,10876,9758.6,10312.9,11470.6,10464.5,10389,11039.1,13447.4,15832,19855,21568.1,21250.1,26031.2,24564.4, 
Yemen,3389,3601.5,4561.4,4706.7,3838.5,3945.9,3692,4414.2,4242.7,4853.6,4817.2,4368,4001.6,3681.9,3542.4, 
